Greece  , Greece £¬ is a country in Southeastern Europe It borders Albania £¬ North Macedonia and Bulgaria to the north £¬ and Turkey to the east The Aegean Sea is to the East and South of mainland Greece £¬ the Ionian Sea is to the West Both are part of the Eastern Mediterranean Sea and have many islands 80% of the country is mountainous £¬ with Mount Olympus being the highest peak
Iraq , Iraq is a country in southwestern Asia Iraq borders with Saudi Arabia and Kuwait to the south £¬ Turkey to the north £¬ Syria to the north-west £¬ Jordan to the west £¬ and Iran to the east
Israel , The State of Israel is a country in southwestern Asia on the eastern side of the Mediterranean Sea
Moldova , Moldova is a country in Eastern Europe It borders Ukraine to the north and Romania to the south
NewZealand , New Zealand is an island country in Oceania It is a sovereign state in the south-western part of the Pacific Ocean It is made up of two large islands (the North Island and the South Island) and many smaller islands These islands are located to the southeast of Australia
Vatican , Vatican City is an independent sovereign state and the smallest country in the world by size Its territory is completely surrounded by Italy 
Ukraine , Ukraine is a country in Eastern Europe Russia is to the north-east of Ukraine £¬ Belarus is to the north-west £¬ Poland and Slovakia are to the west £¬ Hungary £¬ Romania £¬ Moldova and self-proclaimed Transnistria are to the south-west and the Black Sea is to the south
Tajikistan , Tajikistan is a country in Central Asia
Syrian  , Syria is a country in the Middle East £¬ the west part of Asia It borders on Lebanon £¬ Israel £¬ Jordan £¬ Iraq £¬ and Turkey Its western part faces the Mediterranean Sea
Somalia  , Somalia is a country in Africa It is a country in the Horn of Africa It is bordered by Djibouti to the northwest £¬ Kenya to the southwest £¬ the Gulf of Aden with Yemen to the north £¬ the Guardafui Channel and Somali Sea to the east £¬ and Ethiopia to the west
Palestine , Palestine is a region in the Middle East It is in the Levant £¬ between the Jordan River and the Mediterranean Sea
Pakistan , Pakistan is a country in southern Asia It is next to India £¬ Iran £¬ Afghanistan £¬ and China
Venezuela , Venezuela is a country in northern South America 
Kosovo , Kosovo £¬ is a partially-recognised state and disputed territory in Southeastern Europe
Andorra , Andorra £¬ officially the Principality of Andorra £¬ is a landlocked sovereign country located in the eastern Pyrenees Mountains of Southern Europe and bordered by Spain and France
Austria , Austria £¬ is a country in Central Europe Around Austria there are the countries of Germany £¬ Czech Republic £¬ Slovakia £¬ Hungary £¬ Slovenia £¬ Italy £¬ Switzerland £¬ and Liechtenstein
Bahamas , The Bahamas is a group of islands in the West Indies The country's capital £¬ Nassau £¬ is on New Providence Island
Barbados , Barbados is an island country in the Atlantic Ocean
Belarus , Belarus is a country in Eastern Europe[8] About nine million people live there Its capital is Minsk It was part of the Soviet Union until 1991 The president of Belarus has been Alexander Lukashenko since 1994 It is bordered by Russia £¬ Ukraine £¬ Poland £¬ Lithuania and Latvia
Bolivia , Bolivia £¬ is a country in South America It is land locked by Brazil £¬ Paraguay £¬ Argentina £¬ Peru £¬ and Chile
Bulgaria , Bulgaria is a country in south-eastern Europe £¬ on the Balkan Peninsula Bulgaria is the south of the River Danube and west of the Black Sea To the south of Bulgaria is European Turkey £¬ Greece £¬ and North Macedonia To the north of the Danube is Romania £¬ while to the west of Bulgaria is Serbia
Brunei , Brunei is a country in Southeast Asia It is north of Malaysia on the island of Borneo The country is rather landlocked by Malaysia To the north is the South China Sea and the Philippines to the northeast 
Cambodia , Cambodia or Kampuchea is a country in Southeast Asia It is near Vietnam £¬ Laos £¬ and Thailand About 13 million people live in Cambodia
Chile ," Member of the UNASUL[h] Chile has two ""special territories"" in the Valpara¨ªso Region: Easter Island and Juan Fern¨¢ndez Islands"
Colombia , Colombia £¬ officially the Republic of Colombia £¬ is a tropical equatorial country in northern South America It is in the northwest part of the continent £¬ and it has an area of 1 £¬141 £¬748 km 
Congo , The Republic of the Congo is a country in Africa Its capital city is Brazzaville The country was a former colony of France; it became independent on 15 August 1960
Croatia , Croatia is a unitary democratic parliamentary republic in Europe at the crossroads of Central Europe £¬ and Southern Europe £¬ being influenced by powers from both regions at varying points in its history
Ecuador , Ecuador is a small country in South America It used to be part of the Spanish Empire Spain was interested in finding gold in Ecuador Before Spain £¬ Ecuador was part of the Inca Empire
Dominica , The Commonwealth of Dominica is an island nation in the Caribbean Sea It is an English-speaking country[4] It is between the French-speaking territories of Guadeloupe and Martinique The island is 751 km  (290 mi ) in area Roseau is its capital Portsmouth is another main town Almost 70 £¬000 people live on the island
Djibouti , Djibouti (officially called the Republic of Djibouti) is a country on the eastern coast of Africa The capital city is also called Djibouti
Egypt , Egypt is a country in northeast Africa Its capital city is Cairo Egypt is famous for its ancient monuments £¬ such as the Pyramids and the Sphinx
Eritrea , Eritrea is a country on the eastern coast of Africa Its official name is The State of Eritrea
Estonia  , Estonia £¬ officially the Republic of Estonia (Estonian: Eesti Vabariik) is a small country in the Baltic Region of Northern Europe The capital city is Tallinn Estonia's neighbors are Sweden £¬ Finland £¬ Russia and Latvia
Eswatini , Eswatini is a country in Africa
Ethiopia ," Ethiopia is a country in the Horn of Africa It has one of the longest and most well known histories as a country in Africa and the world Ethiopia was one of the few countries in Africa that escaped the Scramble for Africa It avoided being colonized until 1935 £¬ when it was invaded by the Italians £¬ who took over the country for a brief time Ethiopia used to be called Abyssinia The word ""Ethiopia"" is from the Greek word meaning sun light burned face It is the most populous landlocked country in the world It lost its Red Sea ports when Eritrea gained independence in 1993"
Fiji , Fiji is a small country in the Pacific Ocean It has 322 islands The most important islands are Vanua Levu and Viti Levu 
Finland , Finland is a country in Northern Europe and is a member state of the European Union Finland is one of the Nordic countries and is also part of Fennoscandia Finland is located between the 60th and 70th latitudes North Its neighbours are Sweden to the west £¬ Norway to the north £¬
Ghana , Ghana is a country in West Africa Twenty-three million people live there; its capital is Accra It is in Western Africa £¬ bordering the Gulf of Guinea £¬ between C te d'Ivoire and Togo
Guatemala , Guatemala is a country in Central America It is known for its mixed culture £¬ a product of both Mayan and Spanish cultures £¬ from the colonial period Guatemala is known for its ever-changing weather £¬ a product of the mountain range which crosses the center of the country Guatemala has many languages £¬ a total of 23 Because of its natural beauty £¬ it is a popular tourist destination
Guinea , Guinea £¬ or the Republic of Guinea £¬ is an independent nation in Western Africa Guinea borders 6 countries: Guinea-Bissau £¬ Senegal £¬ Mali £¬ Ivory Coast £¬ Liberia £¬ Sierra Leone The national language is French[3] [4] It is a member of the Economic Community of West African States
Honduras , Honduras is a country in Central America Its capital is Tegucigalpa Most people of Honduras speak the Spanish language (while English has mostly widely spoken) 7 £¬483 £¬763 people live in Honduras and it is 112 £¬492 square kilometres (43 £¬433 sq mi) in size It is next to El Salvador To one side is the Caribbean Sea and to the other in the Pacific Ocean
Hungary , Hungary is a country in Central Europe Its capital city is Budapest Hungary is slightly bigger than its western neighbour Austria and has about 10 million inhabitants Other countries that border Hungary are Slovakia £¬ Ukraine £¬ Romania £¬ Serbia £¬ Croatia and Slovenia Hungary's official language is the Hungarian language It has been a member of the European Union (EU) since 2004
Iceland , Iceland is an island country in the North Atlantic £¬ between Greenland and Norway £¬ formerly a possession of Denmark It is culturally considered to be part of Europe Iceland is 301 kilometers east of Greenland and 1001 kilometers west of Norway
Iran , Iran officially the Islamic Republic of Iran £¬ historically known as Persia £¬ is a country in Western Asia[8][9][10] It is part of the Middle East region It shares borders with Afghanistan £¬ Armenia £¬ Azerbaijan £¬ Iraq £¬ Pakistan £¬ Turkey £¬ and Turkmenistan
Ireland , Ireland £¬ also known as the Republic of Ireland is a European country on the island of Ireland It is a member of the European Union The country is sometimes called the Republic of Ireland in order to distinguish between the territory of the Irish state and island proper £¬ but Ireland is its official name It covers about five-sixths of the island of Ireland The other sixth is called Northern Ireland £¬ which is still part of the United Kingdom 
Jamaica , Jamaica is an island country in the Caribbean; it is part of the Greater Antilles The island £¬ 10 £¬990 square kilometres in area £¬ lies about 140 kilometres south of Cuba £¬ and 191 kilometres west of Hispaniola
Jordan , Jordan is a country in the Middle East Its official name is The Hashemite Kingdom of Jordan
Kazakhstan ," Kazakhstan is a country in the middle of Eurasia Its official name is the Republic of Kazakhstan Kazakhstan is the ninth biggest country in the world £¬ and it is also the biggest landlocked country in the world Before the end of the Soviet Union £¬ it was called ""Kazakh Soviet Socialist Republic"" The president of the country from 1991 through March 2019 was Nursultan Nazarbayev Nur-Sultan is the capital city of Kazakhstan Almaty was the capital until 1998 £¬ when it moved to Nur-Sultan £¬ which was called Astana at that time"
Kenya , Kenya is a country in East Africa £¬ about halfway down £¬ near the horn of Africa It has the Indian Ocean to its east and Lake Victoria to its west 
Zambia , The Republic of Zambia is a country in southern Africa It shares its borders with the Democratic Republic of the Congo to the north £¬ Tanzania to the north-east £¬ Malawi to the east £¬ Mozambique £¬ Zimbabwe £¬ Botswana £¬ and Namibia to the south £¬ and Angola to the west
Zimbabwe , The Republic of Zimbabwe is a country in the southern part of the continent of Africa Its capital city is Harare
Turkey , Turkey is a country in both Europe and Asia The area of Turkey is about 780 £¬000 square kilometres
Tunisia , Tunisia £¬[a] officially the Republic of Tunisia £¬[b][18] is a country in North Africa Tunis is its capital
Uganda , The Republic of Uganda is a landlocked country in east Africa Its capital and biggest city is Kampala
Thailand , Thailand £¬ officially the Kingdom of Thailand £¬ is a country in Southeast Asia Its neighbours are Laos £¬ Cambodia £¬ Malaysia £¬ and Myanmar
Tanzania , Tanzania is a country in East Africa The official languages are Kiswahili and English It is next to Africa's biggest lake £¬ Lake Victoria
Singapore , Singapore £¬ officially the Republic of Singapore £¬ is a sovereign country as well as a city-state It is at the southern end of the Malay Peninsula in Asia £¬ between the Straits of Malacca and the South China Sea 
Samoa , The Independent State of Samoa is a country in Pacific Ocean It became independent from New Zealand in 1962
Qatar , Qatar is a sovereign country in Western Asia It is on the small Qatar Peninsula on the northeastern coast of the Arabian Peninsula Its only land border is with Saudi Arabia to the south £¬ with the rest of its territory surrounded by the Persian Gulf A strait in the Persian Gulf separates Qatar from the nearby island country of Bahrain £¬ as well as sharing maritime borders with the United Arab Emirates and Iran
Poland , Poland is a country in Central Europe[8] Its official name is Republic of Poland It is on the east of Germany (along Oder and Lusatian Neisse) The Czech Republic and Slovakia are to the south £¬ Ukraine and Belarus to the east £¬ and the Baltic Sea £¬ Lithuania £¬ and the Russian exclave Kaliningrad to the north
Romania , Romania is a country in southeastern Europe[9] It is north of the Balkan Peninsula £¬ on the Lower Danube River Part of Romania is circled by the Carpathian Mountains It also has a border on the Black Sea
Portugal , Portugal is a country in Southern Europe on the Iberian Peninsula Portugal is the westernmost country of Europe and part of the Mediterranean It is bordered by the Atlantic Ocean to the west and south and by Spain to the north and east It has been a member of the European Union since 1986
Peru , Peru is a country in South America Peru is bordered to the north by Ecuador and Colombia £¬ to the east by Brazil £¬ to the south by Chile £¬ and to the southeast by Bolivia
Paraguay , Paraguay £¬ officially the Republic of Paraguay £¬ is a small country in South America It is landlocked £¬ meaning that it does not touch the ocean It is bordered to the North and East by Brazil £¬ the West by Bolivia £¬ and the South and Southeast by Argentina 
Nigeria , Nigeria is a country in west Africa
Morocco , Kingdom of Morocco £¬ or simply known as Morocco Kingdom £¬ is a sovereign country in the Maghreb region of North Africa Geographically £¬ Morocco is characterized by a rugged mountainous interior £¬ large tracts of desert £¬ and a lengthy coastline along the Atlantic Ocean and Mediterranean Sea
Maldives , The Maldives are a group of islands in the Indian Ocean They are southwest of India 
Malaysia , Malaysia is a country in Southeast Asia It is a federation which has 13 states It is divided into two parts by the South China Sea
Libya , Libya is a country in North Africa It is bordered by the Mediterranean Sea to the north £¬ Egypt to the east £¬ Sudan to the southeast £¬ Chad and Niger to the south £¬ and Algeria and Tunisia to the west
Lebanon , Lebanon is a country in the Middle East £¬ on the Mediterranean Sea It has a border with Israel to the south £¬ and Syria to the east and north
Laos , Laos is landlocked It is bordered by Myanmar and by China to the northwest £¬ by Vietnam to the east £¬ by Cambodia to the south and by Thailand to the west
Kyrgyzstan , Kyrgyzstan £¬ formally the Kyrgyz Republic £¬ and sometimes known as Kirghizia £¬ is a country in Central Asia The country is landlocked (has no coast) and mountainous It has borders with China £¬ Kazakhstan £¬ Tajikistan £¬ and Uzbekistan
Kuwait , Kuwait is a small Arab country in the Middle East
Gabon , The Gabonese Republic £¬ or Gabon £¬ is a country in Africa It is located on the equator It has borders with Equatorial Guinea £¬ Cameroon £¬ and the Republic of the Congo
Gambia  , It is a country in West Africa  It is surrounded by Senegal It is the smallest country on mainland Africa
Cuba , Cuba is an island country in the Caribbean Sea The country is made up of the big island of Cuba £¬ the Isla de la Juventud island (Isle of Youth) £¬ and many smaller islands
Georgia , Georgia is a country in Eastern Europe It is on the coast of the Black Sea
Malawi , Malawi is a country in south-east Africa It has borders with the countries of Tanzania £¬ Zambia £¬ and Mozambique
Malta , Malta is a country in Europe It is an island near the center of the Mediterranean Sea £¬ south of Sicily The capital of Malta is Valletta
Mauritius , The Republic of Mauritius is an island nation in the Mascarene Islands It includes Rodrigues £¬ Agal¨¦ga and St Brandon as well as Mauritius It was formerly ruled by the European countries Portugal £¬ France and the United Kingdom £¬ but is now independent
Mongolia , Mongolia is a country between China and Russia in Asia
